Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
WRK-WS-02539,Anisoptera,Aeshnidae,Aeshna juncea,321.972,422.399,40.513,39.031,41.698,41.233,9.927,12.742,10.88,14.923,0.587817259,0.322895277,0.044509408,-0.040242752,0.562256809,0.567375887,119.291237,107.7100277,47.244,TRUE
WRK-WS-02540,Anisoptera,Aeshnidae,Aeshna juncea,327.01,421.522,42.111,40.27,42.767,41.222,9.705,12.51,10.488,14.171,0.577827271,0.272913992,0.029530322,-0.118113286,0.608476287,0.582524272,114.5295131,105.6704292,94.488,TRUE
WRK-WS-02541,Anisoptera,Aeshnidae,Aeshna juncea,339.315,439.647,41.995,40.375,42.545,41.656,10.107,12.795,11.113,14.7,0.615174129,0.179115854,0.030868565,-0.110900527,0.625714286,0.611231102,117.6031835,108.3617771,94.488,TRUE
WRK-WS-02542,Anisoptera,Aeshnidae,Aeshna juncea,319.063,419.3,41.571,39.719,42.471,41.656,9.578,12.499,10.287,14.383,0.568901072,0.258892276,0.042849441,-0.083841135,0.575102881,0.572479765,99.82217238,97.89015497,94.488,TRUE
WRK-WS-02543,Anisoptera,Aeshnidae,Aeshna juncea,348.104,449.285,43.371,41.18,43.974,43.17,9.948,13.007,10.615,14.51,0.614921781,0.295660701,0.026608514,-0.090957743,0.555333998,0.590080233,114.0880243,110.5782508,94.488,TRUE
WRK-WS-02544,Anisoptera,Aeshnidae,Aeshna juncea,345.599,436.325,43.402,41.349,44.175,42.386,9.853,12.478,10.552,13.663,0.615237183,0.240449438,0.034863746,-0.116731675,0.580742227,0.599535244,116.4652204,107.46861,94.488,TRUE
WRK-WS-02547,Anisoptera,Aeshnidae,Aeshna juncea,347.062,439.175,42.418,40.883,43.487,42.545,10.202,12.7,10.869,14.256,0.633487467,0.294278607,0.051829127,-0.098565035,0.573515093,0.605048255,120.9755571,113.4985218,94.488,TRUE
41510,Anisoptera,Aeshnidae,Aeshna palmata,366.773,480.031,42.312,40.704,42.566,41.698,11.197,14.118,11.748,15.6,0.616608652,0.283248731,0.050464723,-0.115637319,0.553153153,0.609226594,117.0541743,108.8533477,47.244,TRUE
36587,Anisoptera,Aeshnidae,Aeshna palmata,365.153,490.7,42.545,42.037,42.905,43.857,10.88,14.605,11.515,16.193,0.61174149,0.277027027,0.026091973,-0.076187812,0.564338235,0.654901961,112.2863558,104.8353613,47.244,TRUE
38953,Anisoptera,Aeshnidae,Aeshna palmata,379.415,487.174,43.752,42.016,43.773,42.355,11.091,14.415,11.98,15.875,0.609284333,0.253373313,0.028361726,-0.126801519,0.63074205,0.685333333,116.0117979,104.6769883,47.244,TRUE
