Suborder,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW
Anisoptera,478.696,621.275,47.667,47.477,48.874,49.657,12.298,15.409,13.102,17.695,0.565179732,0.242114237,0.015817787,-0.083888787
Anisoptera,510.919,656.281,50.61,49.001,52.07,51.393,12.383,16.044,13.123,18.267,0.564227642,0.231054366,0.026787836,-0.092696374
Anisoptera,521.031,656.18,52.282,49.636,53.531,52.811,12.213,16.044,12.975,18.352,0.554369316,0.247294589,0.019598058,-0.075594699
Anisoptera,445.955,611.569,50.059,48.133,50.461,49.996,11.007,15.6,11.684,16.785,0.611996644,0.255292125,0.009860585,-0.121159914
Anisoptera,439.569,567.703,48.324,46.143,48.62,47.964,11.134,14.901,12.044,17.06,0.530256857,0.319947043,0.007808949,-0.097754912
Anisoptera,565.455,723.737,55.436,52.197,55.436,53.34,12.7,16.828,13.547,18.902,0.575028637,0.28452381,-0.003773144,-0.13739528
Anisoptera,451.28,556.637,49.763,46.122,50.123,49.297,11.176,14.288,12.002,15.536,0.523648649,0.334907686,0.006901098,-0.064426206
Anisoptera,459.235,596.721,49.805,47.562,49.953,49.403,11.134,15.05,11.896,16.171,0.518644068,0.154670094,-0.00507138,-0.109200167
Anisoptera,467.455,590.997,50.038,48.429,50.652,50.991,11.472,14.584,12.213,15.642,0.551608859,0.199667912,0.00907134,-0.068080803
Anisoptera,491.058,588.154,51.71,48.302,52.049,50.927,11.663,14.88,12.658,16.489,0.576657178,0.153782211,0.005231563,-0.067786431
Anisoptera,419.295,522.738,46.905,44.514,48.091,47.159,10.88,13.97,11.896,16.066,0.558538732,0.271095153,0.013775934,-0.088657339
Anisoptera,434.309,541.621,49.128,46.207,49.826,48.853,10.816,13.97,11.472,15.409,0.593033135,0.177642981,0.015846794,-0.085574362
Anisoptera,442.656,558.703,48.98,46.567,49.34,49.509,11.028,14.33,11.79,16.171,0.53968254,0.190252245,-0.004030499,-0.085601169
Anisoptera,455.177,560.488,48.408,45.614,48.641,47.117,11.451,14.711,12.192,15.071,0.54743255,0.168014376,0.00682241,-0.118651548
Anisoptera,424.028,529.398,47.075,45.191,48.091,47.477,10.901,13.737,11.811,15.579,0.565140845,0.190815872,0.009991348,-0.091119327
Anisoptera,435.36,525.14,48.26,44.958,48.789,47.604,11.049,14.012,11.896,14.88,0.555748373,0.157847932,0.008800219,-0.068626162
Anisoptera,388.257,485.27,45.487,42.99,45.974,45.276,10.626,13.441,11.324,14.351,0.537292818,0.230949042,0.013867921,-0.087571171
Anisoptera,449.64,567.225,50.906,47.117,51.202,49.89,10.986,14.309,11.79,15.452,0.58288549,0.225710649,-0.001845408,-0.084632225
Anisoptera,459.175,563.16,49.213,46.958,49.318,47.847,11.377,14.817,12.351,15.706,0.559871245,0.138907321,0.005547986,-0.145251334
Anisoptera,517.867,637.067,52.007,50.303,52.779,51.636,12.203,15.356,13.092,16.542,0.516543012,0.154539865,0.0105873,-0.122155048
Anisoptera,422.048,522.581,48.683,45.635,49.107,47.244,10.668,13.78,11.43,15.346,0.45387931,0.316308244,0.009411918,-0.112921722
Anisoptera,492.858,569.194,53.742,51.372,53.763,52.642,11.007,13.229,11.938,14.097,0.387401575,0.135102533,-0.004706662,-0.07175902
Anisoptera,424.634,513.942,49.826,47.794,49.996,48.662,10.266,12.869,11.113,13.589,0.387806943,0.113527621,0.016320684,-0.101212858
Anisoptera,459.603,546.445,50.356,49.213,50.419,49.953,10.922,13.335,11.684,13.843,0.409319899,0.144491525,-0.019087347,-0.118518711
Anisoptera,447.535,527.939,50.694,48.937,50.758,49.826,10.52,13.145,11.197,13.61,0.364470392,0.111724724,-0.021321096,-0.111290655
Anisoptera,485.556,574.251,51.795,50.292,51.943,50.588,11.134,13.568,12.023,14.457,0.420537897,0.144351464,-0.008493598,-0.124353723
Anisoptera,425.114,505.369,50.25,48.345,50.271,48.81,10.266,12.658,11.091,14.478,0.45431579,0.131830009,-0.016338254,-0.112022692
Anisoptera,599.809,779.213,59.584,57.806,60.156,58.399,12.34,16.616,13.314,17.695,0.571780436,0.142442914,-0.00411837,-0.156282502
Anisoptera,606.635,803.247,59.246,56.494,59.33,58.039,12.721,17.209,13.758,18.669,0.542989654,0.108315099,-0.006000756,-0.159259681
Anisoptera,574.212,757.564,58.103,55.753,58.865,56.833,12.213,17.018,13.293,18.098,0.540093492,0.096834264,0.003664981,-0.164981776
Anisoptera,643.258,838.141,60.262,57.722,60.558,59.796,13.145,17.42,14.182,18.669,0.368402656,0.147964602,-0.011577284,-0.142791439
Anisoptera,631.777,818.816,59.69,56.917,60.113,58.589,13.145,17.717,14.288,19.918,0.486619718,0.139450867,-0.009490015,-0.157638058
Anisoptera,237.976,266.999,36.957,34.036,37.994,36.195,8.17,9.589,8.996,11.091,0.60724234,0.377192983,0.039483893,-0.022602147
Anisoptera,207.668,229.965,35.285,32.787,35.941,34.925,7.535,8.869,8.276,9.885,0.635453475,0.378787879,0.045057755,0.013521274
Anisoptera,216.326,255.155,35.581,33.973,36.28,34.777,7.789,9.186,8.467,11.113,0.65285881,0.357273281,0.049771439,-0.037595243
Anisoptera,221.584,265.202,36.767,34.692,37.253,35.856,7.684,9.313,8.149,10.012,0.615909091,0.351829988,0.045174109,-0.007075611
Anisoptera,223.58,256.395,36.352,33.577,36.67,35.653,7.944,9.448,8.516,10.952,0.642980936,0.408793821,0.042518165,-0.008600988
Anisoptera,260.51,286.077,39.328,35.497,39.963,37.761,8.636,10.097,9.292,11.663,0.637182203,0.375560538,0.068049409,0.001380883
Anisoptera,201.77,228.728,33.793,31.676,34.131,32.576,7.62,8.731,8.075,9.599,0.645891473,0.362248213,0.037873222,-0.04475663
Anisoptera,299.188,343.757,39.942,38.153,40.608,38.481,9.44,11.049,9.948,11.864,0.624706802,0.309405941,0.02616771,-0.088775867
Anisoptera,224.577,265.895,36.523,33.454,36.957,36.057,7.842,9.589,8.34,11.123,0.611970218,0.363369533,0.041141691,-0.004619818
Anisoptera,218.086,249.862,35.465,33.147,36.132,35.073,7.694,9.282,7.99,10.605,0.634739309,0.363307182,0.03868668,-0.01310939
Anisoptera,221.325,255.764,35.666,33.507,35.751,35.264,7.726,9.229,8.149,10.372,0.595618709,0.37214886,0.01564386,-0.03161836
Anisoptera,183.076,204.185,32.364,29.76,32.703,30.946,7.176,8.149,7.747,8.721,0.609708738,0.341997264,0.04216778,-0.065544997
Anisoptera,193.116,235.444,32.666,31.056,32.878,32.878,7.372,8.834,7.944,9.681,0.593427835,0.335695876,0.028780487,-0.045842027
Anisoptera,193.248,222.016,33.28,31.437,33.598,32.836,7.139,8.516,7.69,9.893,0.622320303,0.329032258,0.015635723,-0.048594606
Anisoptera,191.124,225.825,32.941,30.378,33.302,32.073,7.245,8.728,7.817,9.491,0.59351145,0.362615588,0.026078788,-0.055074256
Anisoptera,238.027,264.722,35.962,32.978,36.894,34.946,8.361,9.567,9.059,10.943,0.605278256,0.35978195,0.047984795,-0.015830762
Anisoptera,216.457,246.985,36.153,33.994,36.449,35.518,7.557,9.102,8.043,10.414,0.639953542,0.352800954,0.028672556,-0.020305849
Anisoptera,202.632,245.054,34.343,32.914,34.819,34.237,7.334,9.028,8.128,10.615,0.594224924,0.368469861,0.029791819,-0.043233324
